63	151
81	173
55	167
94	147
63	136
56	147
56	104
15	171
109	141
13	60
60	126
28	136
128	161
60	151
98	107
88	180
60	149
6	30
32	81
88	112
111	168
5	60
40	176
111	128
30	136
109	171
69	162
27	180
54	106
12	20
43	106
57	108
98	161
55	184
14	60
42	151
65	86
98	162
21	60
65	144
88	91
5	173
72	104
5	28
20	57
100	111
28	29
9	174
45	94
32	173
9	111
173	178
105	136
98	171
44	73
71	136
65	128
98	143
111	135
56	86
28	173
98	100
12	151
108	151
38	60
58	73
50	94
98	128
13	24
77	108
33	56
3	60
54	160
19	73
110	176
45	65
55	111
17	173
6	20
4	28
3	178
134	173
42	60
16	46
1	55
38	98
122	144
66	106
28	126
46	105
3	102
8	30
3	122
8	86
38	106
72	98
16	77
36	111
57	105
29	103
73	156
55	176
51	98
12	175
65	180
38	151
161	171
174	176
21	180
103	128
3	58
56	110
103	106
156	176
111	154
38	55
98	101
81	105
55	66
28	32
85	111
58	160
21	104
83	98
63	65
46	53
94	171
102	141
104	108
98	123
111	183
28	176
24	38
38	183
103	141
111	127
69	183
6	111
27	181
54	66
46	126
40	151
43	65
2	72
43	56
94	141
98	157
151	173
98	121
98	151
30	42
4	98
28	84
126	154
54	139
18	151
22	108
32	108
21	98
98	146
30	168
14	54
28	64
13	57
157	160
24	69
91	98
66	111
54	69
94	146
72	136
20	97
54	65
106	114
86	156
128	146
71	86
69	128
32	175
12	141
70	98
58	173
156	160
53	141
40	103
55	86
2	151
32	180
47	151
45	122
51	56
38	70
13	122
69	134
28	184
28	119
55	63
136	171
28	107
12	148
21	73
24	178
2	20
136	176
67	106
36	175
42	178
20	128
9	102
42	103
17	36
3	179
122	148
12	27
54	150
54	146
127	129
20	104
61	98
2	69
8	57
81	147
115	129
38	54
77	136
34	171
98	141
27	104
71	128
2	111
140	141
28	42
54	178
18	160
108	178
41	65
106	153
57	151
62	141
55	98
57	67
65	111
88	105
106	165
38	65
77	88
73	97
8	63
28	66
53	128
8	180
58	141
73	106
69	173
98	155
60	184
32	131
8	104
65	184
105	180
129	176
20	103
55	148
12	54
